Name,Title,URL,Views,Likes,Comment_Count,Downloadable_Link
MySirG,do while for and break in C Language Community LIVE Class  Day11,https://www.youtube.com/watch?v=l1UHODo7yIM,9.9K,823,26,https://drive.google.com/file/d/1EN09He9Tj2Jbg5HmblQZj_u7_iYZvrXc/view?usp=sharing
MySirG,while loop in C Language  Community LIVE Class  Day10,https://www.youtube.com/watch?v=Mq5k6TXs3xo,11K,886,24,https://drive.google.com/file/d/1qkLu6miSLmBcuKxMlub_VPR6BLNejb-Q/view?usp=sharing
MySirG,LIVE from Hackathon 30  Ultimate Tech Fun,https://www.youtube.com/watch?v=r84HKqKlIS8,14K,527,21,https://drive.google.com/file/d/1Qdv9v9-Cjnb-No6-ul68EE0pSSMgN99O/view?usp=sharing
MySirG,Iterative Control in C Language  Community LIVE Class  Day9,https://www.youtube.com/watch?v=Nu5JL4JXzeU,10K,"1,015",43,https://drive.google.com/file/d/1ea9Sj3fUsyNaySX8Xy_47WI8tVzyKtxZ/view?usp=sharing
MySirG,Hackathon Announcement  Saturday 25 Jun 2022,https://www.youtube.com/watch?v=T9opDCiDLFg,3K,181,11,https://drive.google.com/file/d/1thWFXK8X26fcv0BywVBwprA2ZxQSKNee/view?usp=sharing
MySirG,More on Decision Control  Community LIVE Class  Day8,https://www.youtube.com/watch?v=FAUZZDH-Vec,11K,827,19,https://drive.google.com/file/d/1OXhM4kcp-LeCW-yYkXWJ3DN0t4HelmRH/view?usp=sharing
MySirG,Decision Control Statements  Community LIVE Class  Day7,https://www.youtube.com/watch?v=1dX7SR7YnUM,14K,"1,295",31,https://drive.google.com/file/d/1xcLxj3nBI5rdaebObX30F3oKfY__Kou6/view?usp=sharing
MySirG,Operators in C Language  Community LIVE Class  Day6,https://www.youtube.com/watch?v=D2ryl73dwoE,16K,"1,207",62,https://drive.google.com/file/d/1jnm8GGiDFGdZqQTQwIXK6zGSKrxBGFee/view?usp=sharing
MySirG,History of C Language and Tokens  Community LIVE Class  Day5,https://www.youtube.com/watch?v=b-KYG7ahBvg,16K,"1,214",43,https://drive.google.com/file/d/1NAOLUaotBMgu_6ve8sXOqb0haIO5MiYG/view?usp=sharing
MySirG,Output Instruction in C Language  Community LIVE Classes  Day4,https://www.youtube.com/watch?v=uqTKg5zSfUk,24K,"1,854",107,https://drive.google.com/file/d/1KjuReCMzKBfpUA2YfJ94z8w7r-58X-bN/view?usp=sharing
MySirG,Data Types and Variable Declarations  Community LIVE Class  Day3,https://www.youtube.com/watch?v=zIZs5ITni0A,26K,"2,027",102,https://drive.google.com/file/d/1by9e99R7oa4xv4E4NDZ8IIBOzEaia8sA/view?usp=sharing
MySirG,Hackathon 20  Jetbrains  Kotlin  Prizes 45L 5000 USD Licenses,https://www.youtube.com/watch?v=ZJxOtmoSLRk,3.4K,197,12,https://drive.google.com/file/d/1yVo0QS4ziHHgzNSZxd5XNM7evurDo9Ct/view?usp=sharing
MySirG,History of C Language and Tokens  Community LIVE Class  Day2,https://www.youtube.com/watch?v=Aadj7f_EdXA,34K,"2,814",172,https://drive.google.com/file/d/11OldXOje5Th5uaEVNyFJertci0IR-Aw5/view?usp=sharing
MySirG,Introduction to C Programming  Community LIVE Class  Day1,https://www.youtube.com/watch?v=nyMORQAdhkk,53K,"3,262",250,https://drive.google.com/file/d/1FnwDus3UQxV9AMnWec_Erq5C9mMCRD_5/view?usp=sharing
MySirG,LIVE Community Classes Announcement  Win Prizes,https://www.youtube.com/watch?v=-LUY_xSoj0M,20K,"1,608",154,https://drive.google.com/file/d/1abC153gN9AafFAjfze1hjxYDY9XrAENN/view?usp=sharing
MySirG,LIVE project presentation Hackathon,https://www.youtube.com/watch?v=AiXYFKAEugk,16K,362,10,https://drive.google.com/file/d/1DQpAba5Nitfc12Uj4A8tUdH1souIYSJJ/view?usp=sharing
MySirG,Closing hours Hackathon LIVE,https://www.youtube.com/watch?v=KKJTpmRTAsQ,21K,828,11,https://drive.google.com/file/d/1E2YB-5zj6CElfg9MDtW28qfbRdoY_8qj/view?usp=sharing
MySirG,Midnight MySirG LIVE  Hackathon,https://www.youtube.com/watch?v=cB__DlboSik,11K,667,18,https://drive.google.com/file/d/1ilIP3lUlrpnhn0hN7ZyJB3222UHMYPsF/view?usp=sharing
MySirG,MySirG LIVE from Hackathon event,https://www.youtube.com/watch?v=SQIJDy6xdx0,11K,562,11,https://drive.google.com/file/d/1rgIjoq5VtdiaeOIWIlGTWCPGgwVVInjn/view?usp=sharing
MySirG,Why I have joined iNeuron  Sunday LIVE  MySirG,https://www.youtube.com/watch?v=Ir68iC9o_hM,23K,"2,164",186,https://drive.google.com/file/d/1Ybc4UQc9yE9hf5qoP5b6gGO5bgaxq9XG/view?usp=sharing
MySirG,Indias Biggest Hackathon  Free Entry  Total Prize  35L,https://www.youtube.com/watch?v=K6Jf2xz_r28,8.2K,464,31,https://drive.google.com/file/d/15YS3hyTpzlj04JtziaezwjGPM4MXyLW8/view?usp=sharing
MySirG,C LIVE Contest with Telusko,https://www.youtube.com/watch?v=HOYNW_Cs9Tk,11K,624,27,https://drive.google.com/file/d/16kRqcHx_jFH8uB47CMGraqX1Q3d12B8D/view?usp=sharing
MySirG,A Job Ready Bootcamp in C DSA and IOT by MySirG,https://www.youtube.com/watch?v=cP6oXBKiwOE,19K,991,204,https://drive.google.com/file/d/1MIP4GdIiXoUtiihkIg6i2Jm4nHXK2HQU/view?usp=sharing
MySirG,Job Hiring  Work with MySirGcom,https://www.youtube.com/watch?v=ZnrbFoHpDYc,19K,"1,155",93,https://drive.google.com/file/d/1kJh7nyixQFhyCVWw4N5ZAQq7Rvhmn6jm/view?usp=sharing
